rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,doubleclick.net,Advertisements
8,apple.com,Information Technology;Technology
9,yahoo.com,News & Media
10,youtube.com,Video Streaming
11,gvt2.com,Content Servers
12,googlevideo.com,Search Engines;Video Streaming
13,live.com,Technology;Webmail
14,tiktokv.com,Social Networks;Video Streaming
15,googlesyndication.com,Search Engines;Advertisements
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,bing.com,Search Engines
18,office.com,Technology
19,cloudflare-dns.com,Content Servers
20,msn.com,News & Media
21,googleusercontent.com,Content Servers
22,akamai.net,Content Servers
23,ntp.org,Technology
24,fbcdn.net,Social Networks
25,spotify.com,Audio Streaming
26,google-analytics.com,Business;Technology
27,netflix.com,Video Streaming
28,amazonaws.com,Technology
29,akadns.net,Content Servers
30,instagram.com,Photography;Social Networks
31,ytimg.com,Content Servers
32,akamaiedge.net,Content Servers
33,ui.com,Technology
34,cloudflare.com,Technology
35,google.ro,Search Engines
36,apple-dns.net,Content Servers
37,ttlivecdn.com,Content Servers
38,windowsupdate.com,Information Technology;Business
39,office.net,Content Servers
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,lencr.org,Information Technology
42,icloud.com,File Sharing
43,googleadservices.com,Advertisements
44,msftncsi.com,Content Servers
45,criteo.com,Business
46,amazon.com,Ecommerce
47,googletagmanager.com,Content Servers
48,cdn77.org,Content Servers
49,cloudfront.net,Content Servers;Science;Technology
50,snapchat.com,Social Networks
51,windows.com,Information Technology
52,azure.com,Technology
53,bytefcdn-oversea.com,
54,microsoftonline.com,Technology
55,office365.com,Technology
56,bitdefender.net,Information Security;Technology
57,aaplimg.com,Information Technology;Content Servers;Technology
58,app-measurement.com,Content Servers
59,ggpht.com,Content Servers
60,akamaized.net,Content Servers
61,fastly.net,Information Security;Information Technology;Technology
62,amazon-adsystem.com,Advertisements
63,roblox.com,Gaming;Safe for Kids
64,epicgames.com,Ecommerce;Gaming
65,rubiconproject.com,Advertisements
66,one.one,Information Technology
67,adnxs.com,Content Servers
68,trafficmanager.net,Content Servers
69,msedge.net,Content Servers
70,linkedin.com,Professional Networking
71,root-servers.net,Information Technology;Technology
72,gvt1.com,Content Servers
73,dns.google,Information Technology
74,mozilla.com,Information Technology
75,smartadserver.com,Advertisements
76,facebook.net,Social Networks
77,windows.net,Technology
78,taboola.com,Business;Advertisements
79,opera.com,Technology
80,yahoo.net,News & Media
81,avcdn.net,Content Servers
82,pubmatic.com,Business;Technology
83,msftconnecttest.com,Content Servers
84,wikipedia.org,Education
85,azureedge.net,Content Servers
86,gmail.com,Webmail
87,digicert.com,Information Security
88,yahoodns.net,Content Servers
89,cxense.com,Business;Technology
90,reddit.com,Forums
91,casalemedia.com,Advertisements
92,tp-link.com,Technology
93,avast.com,Technology
94,tiktokcdn-eu.com,Content Servers
95,discord.com,Instant Messengers;Internet Phone & VOIP
96,appcenter.ms,Technology
97,sentry.io,Business
98,pki.goog,Information Security
99,clarity.ms,Content Servers
100,googletagservices.com,Content Servers
