rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,doubleclick.net,Advertisements
9,instagram.com,Photography;Social Networks
10,gvt2.com,Content Servers
11,youtube.com,Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,tiktokv.com,Social Networks;Video Streaming
14,googlesyndication.com,Search Engines;Advertisements
15,kwai.net,File Sharing
16,apple.com,Information Technology;Technology
17,ytimg.com,Content Servers
18,googleusercontent.com,Content Servers
19,netflix.com,Video Streaming
20,google.com.br,Search Engines
21,fbcdn.net,Social Networks
22,spotify.com,Audio Streaming
23,bing.com,Search Engines
24,google-analytics.com,Business;Technology
25,amazon.com,Ecommerce
26,live.com,Technology;Webmail
27,akamai.net,Content Servers
28,globo.com,News & Media
29,amazonaws.com,Technology
30,cloudfront.net,Content Servers;Science;Technology
31,ttlivecdn.com,Content Servers
32,msn.com,News & Media
33,office.com,Technology
34,whatsapp.com,Instant Messengers;Internet Phone & VOIP
35,ntp.org,Technology
36,ggpht.com,Content Servers
37,googleadservices.com,Advertisements
38,akadns.net,Content Servers
39,kwai-pro.com,Content Servers
40,cloudflare.com,Technology
41,roblox.com,Gaming;Safe for Kids
42,amazon-adsystem.com,Advertisements
43,akamaiedge.net,Content Servers
44,apple-dns.net,Content Servers
45,googletagmanager.com,Content Servers
46,root-servers.net,Information Technology;Technology
47,gvt1.com,Content Servers
48,cloudflare-dns.com,Content Servers
49,adnxs.com,Content Servers
50,yahoo.com,News & Media
51,rubiconproject.com,Advertisements
52,icloud.com,File Sharing
53,criteo.com,Business
54,rbxcdn.com,Content Servers
55,smartadserver.com,Advertisements
56,taboola.com,Business;Advertisements
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,cdn77.org,Content Servers
59,akamaized.net,Content Servers
60,bytefcdn-oversea.com,
61,cdninstagram.com,Content Servers
62,app-measurement.com,Content Servers
63,shopee.com.br,Ecommerce
64,baidu.com,Search Engines
65,dns.google,Information Technology
66,facebook.net,Social Networks
67,appsflyer.com,Business;Technology
68,ampproject.org,Information Technology
69,pangle.io,Content Servers
70,aaplimg.com,Information Technology;Content Servers;Technology
71,office.net,Content Servers
72,clarity.ms,Content Servers
73,android.com,Technology
74,applovin.com,Gaming
75,scorecardresearch.com,Business
76,kwaipros.com,
77,pubmatic.com,Business;Technology
78,windows.com,Information Technology
79,nakheelteam.cc,Technology
80,linkedin.com,Professional Networking
81,twitter.com,Social Networks
82,appcenter.ms,Technology
83,nflxso.net,Content Servers
84,uol.com.br,News & Media
85,ap4r.com,Content Servers
86,unity3d.com,Gaming;Technology
87,doubleverify.com,Business;Technology
88,windowsupdate.com,Information Technology;Business
89,byteoversea.com,Content Servers
90,mythad.com,Business;Vehicles
91,nubank.com.br,Economy & Finance;Business
92,2mdn.net,Content Servers
93,wikipedia.org,Education
94,googletagservices.com,Content Servers
95,xiaomi.com,Technology
96,opera.com,Technology
97,upwitheaway.info,Parked & For Sale Domains
98,microsoftonline.com,Technology
99,lencr.org,Information Technology
100,office365.com,Technology
