rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,amazonaws.com,Technology
8,tiktokcdn.com,Content Servers;Social Networks
9,doubleclick.net,Advertisements
10,akadns.net,Content Servers
11,apple-dns.net,Content Servers
12,akamai.net,Content Servers
13,office.com,Technology
14,akamaiedge.net,Content Servers
15,amazon.com,Ecommerce
16,icloud.com,File Sharing
17,googlevideo.com,Search Engines;Video Streaming
18,youtube.com,Video Streaming
19,live.com,Technology;Webmail
20,tiktokv.com,Social Networks;Video Streaming
21,bing.com,Search Engines
22,tiktokcdn-us.com,Content Servers
23,yahoo.com,News & Media
24,cloudfront.net,Content Servers;Science;Technology
25,googlesyndication.com,Search Engines;Advertisements
26,spotify.com,Audio Streaming
27,gvt2.com,Content Servers
28,ui.com,Technology
29,googleusercontent.com,Content Servers
30,aaplimg.com,Information Technology;Content Servers;Technology
31,cloudflare-dns.com,Content Servers
32,instagram.com,Photography;Social Networks
33,snapchat.com,Social Networks
34,fbcdn.net,Social Networks
35,amazon-adsystem.com,Advertisements
36,msn.com,News & Media
37,office365.com,Technology
38,netflix.com,Video Streaming
39,ntp.org,Technology
40,office.net,Content Servers
41,cdn77.org,Content Servers
42,azure.com,Technology
43,bytefcdn-oversea.com,
44,one.one,Information Technology
45,app-measurement.com,Content Servers
46,fastly.net,Information Security;Information Technology;Technology
47,ttlivecdn.com,Content Servers
48,google-analytics.com,Business;Technology
49,microsoftonline.com,Technology
50,ytimg.com,Content Servers
51,rubiconproject.com,Advertisements
52,cloudflare.com,Technology
53,windowsupdate.com,Information Technology;Business
54,adnxs.com,Content Servers
55,windows.net,Technology
56,doubleverify.com,Business;Technology
57,worldfcdn2.com,Content Servers
58,pubmatic.com,Business;Technology
59,trafficmanager.net,Content Servers
60,launchdarkly.com,Business
61,sharepoint.com,File Sharing;Technology
62,windows.com,Information Technology
63,msftncsi.com,Content Servers
64,skype.com,Instant Messengers;Internet Phone & VOIP
65,sentry.io,Business
66,lencr.org,Information Technology
67,googletagmanager.com,Content Servers
68,firebaseio.com,Technology
69,casalemedia.com,Advertisements
70,pki.goog,Information Security
71,nr-data.net,Content Servers
72,a2z.com,Content Servers
73,adsafeprotected.com,Advertisements
74,digicert.com,Information Security
75,googleadservices.com,Advertisements
76,bytefcdn-ttpeu.com,Content Servers
77,dropbox.com,File Sharing
78,criteo.com,Business
79,msftconnecttest.com,Content Servers
80,cdninstagram.com,Content Servers
81,gmail.com,Webmail
82,akamaized.net,Content Servers
83,taboola.com,Business;Advertisements
84,grammarly.com,Information Technology
85,cdn-apple.com,Content Servers
86,vivint.ai,
87,adsrvr.org,Advertisements
88,scorecardresearch.com,Business
89,ggpht.com,Content Servers
90,rings.solutions,Content Servers
91,slack.com,Instant Messengers
92,demdex.net,Technology
93,linkedin.com,Professional Networking
94,grammarly.io,Information Technology;Content Servers
95,outlook.com,Webmail
96,2mdn.net,Content Servers
97,amazonalexa.com,Content Servers
98,gvt1.com,Content Servers
99,azureedge.net,Content Servers
100,moatads.com,Business;Technology
