rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,office.com,Technology
9,live.com,Technology;Webmail
10,youtube.com,Video Streaming
11,tiktokcdn.com,Content Servers;Social Networks
12,amazonaws.com,Technology
13,spotify.com,Audio Streaming
14,akadns.net,Content Servers
15,gvt2.com,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,apple-dns.net,Content Servers
18,bing.com,Search Engines
19,googlesyndication.com,Search Engines;Advertisements
20,icloud.com,File Sharing
21,akamaiedge.net,Content Servers
22,googleusercontent.com,Content Servers
23,ui.com,Technology
24,akamai.net,Content Servers
25,amazon.com,Ecommerce
26,msn.com,News & Media
27,tiktokv.com,Social Networks;Video Streaming
28,cloudfront.net,Content Servers;Science;Technology
29,netflix.com,Video Streaming
30,office.net,Content Servers
31,aaplimg.com,Information Technology;Content Servers;Technology
32,yahoo.com,News & Media
33,office365.com,Technology
34,fbcdn.net,Social Networks
35,instagram.com,Photography;Social Networks
36,ntp.org,Technology
37,amazon-adsystem.com,Advertisements
38,snapchat.com,Social Networks
39,microsoftonline.com,Technology
40,ytimg.com,Content Servers
41,cloudflare-dns.com,Content Servers
42,windowsupdate.com,Information Technology;Business
43,windows.com,Information Technology
44,google-analytics.com,Business;Technology
45,azure.com,Technology
46,google.ca,Search Engines
47,one.one,Information Technology
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,msftncsi.com,Content Servers
50,cloudflare.com,Technology
51,adnxs.com,Content Servers
52,rubiconproject.com,Advertisements
53,windows.net,Technology
54,lencr.org,Information Technology
55,sharepoint.com,File Sharing;Technology
56,app-measurement.com,Content Servers
57,ttlivecdn.com,Content Servers
58,trafficmanager.net,Content Servers
59,outlook.com,Webmail
60,googletagmanager.com,Content Servers
61,fastly.net,Information Security;Information Technology;Technology
62,whatsapp.net,Instant Messengers;Internet Phone & VOIP
63,pubmatic.com,Business;Technology
64,cdn77.org,Content Servers
65,akamaized.net,Content Servers
66,amazon.ca,Ecommerce
67,googleadservices.com,Advertisements
68,casalemedia.com,Advertisements
69,ggpht.com,Content Servers
70,bytefcdn-oversea.com,
71,digicert.com,Information Security
72,linkedin.com,Professional Networking
73,gmail.com,Webmail
74,sentry.io,Business
75,reddit.com,Forums
76,a2z.com,Content Servers
77,pki.goog,Information Security
78,dropbox.com,File Sharing
79,doubleverify.com,Business;Technology
80,surfshark.com,Anonymizer
81,msftconnecttest.com,Content Servers
82,nr-data.net,Content Servers
83,criteo.com,Business
84,scorecardresearch.com,Business
85,slack.com,Instant Messengers
86,grammarly.com,Information Technology
87,epicgames.com,Ecommerce;Gaming
88,smartadserver.com,Advertisements
89,gvt1.com,Content Servers
90,appcenter.ms,Technology
91,xboxlive.com,Gaming
92,grammarly.io,Information Technology;Content Servers
93,2mdn.net,Content Servers
94,discord.com,Instant Messengers;Internet Phone & VOIP
95,azureedge.net,Content Servers
96,gamepass.com,Gaming;Information Technology
97,twitter.com,Social Networks
98,adobe.io,Business;Technology
99,openx.net,Advertisements
100,cdn-apple.com,Content Servers
