rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,youtube.com,Video Streaming
8,doubleclick.net,Advertisements
9,gvt2.com,Content Servers
10,googlevideo.com,Search Engines;Video Streaming
11,instagram.com,Photography;Social Networks
12,spotify.com,Audio Streaming
13,fbcdn.net,Social Networks
14,apple.com,Information Technology;Technology
15,googlesyndication.com,Search Engines;Advertisements
16,tiktokv.com,Social Networks;Video Streaming
17,bing.com,Search Engines
18,ytimg.com,Content Servers
19,live.com,Technology;Webmail
20,viber.com,Instant Messengers;Internet Phone & VOIP
21,msn.com,News & Media
22,googleusercontent.com,Content Servers
23,roblox.com,Gaming;Safe for Kids
24,cloudflare.com,Technology
25,amazonaws.com,Technology
26,google-analytics.com,Business;Technology
27,office.com,Technology
28,yahoo.com,News & Media
29,epicgames.com,Ecommerce;Gaming
30,akamai.net,Content Servers
31,akadns.net,Content Servers
32,googletagmanager.com,Content Servers
33,ggpht.com,Content Servers
34,amazon-adsystem.com,Advertisements
35,snapchat.com,Social Networks
36,ttlivecdn.com,Content Servers
37,akamaiedge.net,Content Servers
38,ntp.org,Technology
39,cloudflare-dns.com,Content Servers
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,rubiconproject.com,Advertisements
42,google.mk,Search Engines
43,icloud.com,File Sharing
44,netflix.com,Video Streaming
45,apple-dns.net,Content Servers
46,rbxcdn.com,Content Servers
47,cloudfront.net,Content Servers;Science;Technology
48,discord.com,Instant Messengers;Internet Phone & VOIP
49,whatsapp.net,Instant Messengers;Internet Phone & VOIP
50,googleadservices.com,Advertisements
51,windowsupdate.com,Information Technology;Business
52,criteo.com,Business
53,adnxs.com,Content Servers
54,twitter.com,Social Networks
55,office.net,Content Servers
56,cdn77.org,Content Servers
57,pubmatic.com,Business;Technology
58,aaplimg.com,Information Technology;Content Servers;Technology
59,msedge.net,Content Servers
60,windows.com,Information Technology
61,facebook.net,Social Networks
62,lencr.org,Information Technology
63,akamaized.net,Content Servers
64,bytefcdn-oversea.com,
65,app-measurement.com,Content Servers
66,amazon.com,Ecommerce
67,mixpanel.com,Business
68,office365.com,Technology
69,gvt1.com,Content Servers
70,linkedin.com,Professional Networking
71,slack.com,Instant Messengers
72,openx.net,Advertisements
73,smartadserver.com,Advertisements
74,avcdn.net,Content Servers
75,taboola.com,Business;Advertisements
76,microsoftonline.com,Technology
77,avast.com,Technology
78,scorecardresearch.com,Business
79,digicert.com,Information Security
80,azure.com,Technology
81,one.one,Information Technology
82,adform.net,Content Servers
83,cdninstagram.com,Content Servers
84,grammarly.com,Information Technology
85,msftncsi.com,Content Servers
86,brave.com,Information Technology
87,appcenter.ms,Technology
88,ui.com,Technology
89,mozilla.com,Information Technology
90,sharethrough.com,Business
91,fastly.net,Information Security;Information Technology;Technology
92,pki.goog,Information Security
93,casalemedia.com,Advertisements
94,lijit.com,Business
95,opera.com,Technology
96,mgid.com,Business
97,azureedge.net,Content Servers
98,twitch.tv,Entertainment;Gaming;Video Streaming
99,trafficmanager.net,Content Servers
100,dns.google,Information Technology
