rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,doubleclick.net,Advertisements
8,tiktokcdn.com,Content Servers;Social Networks
9,youtube.com,Video Streaming
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,googlevideo.com,Search Engines;Video Streaming
12,live.com,Technology;Webmail
13,tiktokv.com,Social Networks;Video Streaming
14,instagram.com,Photography;Social Networks
15,googlesyndication.com,Search Engines;Advertisements
16,office.com,Technology
17,googleusercontent.com,Content Servers
18,spotify.com,Audio Streaming
19,bing.com,Search Engines
20,ytimg.com,Content Servers
21,cloudflare.com,Technology
22,msn.com,News & Media
23,fbcdn.net,Social Networks
24,office.net,Content Servers
25,google-analytics.com,Business;Technology
26,google.com.co,Search Engines
27,apple.com,Information Technology;Technology
28,whatsapp.com,Instant Messengers;Internet Phone & VOIP
29,netflix.com,Video Streaming
30,amazonaws.com,Technology
31,googleadservices.com,Advertisements
32,ggpht.com,Content Servers
33,cloudfront.net,Content Servers;Science;Technology
34,adnxs.com,Content Servers
35,amazon-adsystem.com,Advertisements
36,googletagmanager.com,Content Servers
37,yahoo.com,News & Media
38,ttlivecdn.com,Content Servers
39,akamai.net,Content Servers
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,roblox.com,Gaming;Safe for Kids
42,cloudflare-dns.com,Content Servers
43,akamaized.net,Content Servers
44,akadns.net,Content Servers
45,windows.com,Information Technology
46,rubiconproject.com,Advertisements
47,ntp.org,Technology
48,akamaiedge.net,Content Servers
49,amazon.com,Ecommerce
50,gvt1.com,Content Servers
51,pubmatic.com,Business;Technology
52,microsoftonline.com,Technology
53,apple-dns.net,Content Servers
54,criteo.com,Business
55,taboola.com,Business;Advertisements
56,twitter.com,Social Networks
57,office365.com,Technology
58,scorecardresearch.com,Business
59,azureedge.net,Content Servers
60,icloud.com,File Sharing
61,smartadserver.com,Advertisements
62,clarity.ms,Content Servers
63,rbxcdn.com,Content Servers
64,linkedin.com,Professional Networking
65,kwai.net,File Sharing
66,brave.com,Information Technology
67,ampproject.org,Information Technology
68,lencr.org,Information Technology
69,facebook.net,Social Networks
70,aaplimg.com,Information Technology;Content Servers;Technology
71,cdninstagram.com,Content Servers
72,bytefcdn-oversea.com,
73,snapchat.com,Social Networks
74,app-measurement.com,Content Servers
75,gboxlab.com,Information Technology
76,azure.com,Technology
77,epicgames.com,Ecommerce;Gaming
78,windowsupdate.com,Information Technology;Business
79,casalemedia.com,Advertisements
80,sharepoint.com,File Sharing;Technology
81,tiktok.com,Social Networks;Video Streaming
82,demdex.net,Technology
83,windows.net,Technology
84,msftncsi.com,Content Servers
85,pangle.io,Content Servers
86,dns.google,Information Technology
87,opera.com,Technology
88,googletagservices.com,Content Servers
89,msedge.net,Content Servers
90,nakheelteam.cc,Technology
91,android.com,Technology
92,applovin.com,Gaming
93,jsdelivr.net,Content Servers
94,appsflyer.com,Business;Technology
95,bamgrid.com,Content Servers
96,openx.net,Advertisements
97,avcdn.net,Content Servers
98,xiaomi.com,Technology
99,nr-data.net,Content Servers
100,msftconnecttest.com,Content Servers
