rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,doubleclick.net,Advertisements
8,tiktokcdn.com,Content Servers;Social Networks
9,live.com,Technology;Webmail
10,gvt2.com,Content Servers
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,bing.com,Search Engines
13,googlesyndication.com,Search Engines;Advertisements
14,youtube.com,Video Streaming
15,apple.com,Information Technology;Technology
16,tiktokv.com,Social Networks;Video Streaming
17,office.net,Content Servers
18,googlevideo.com,Search Engines;Video Streaming
19,msn.com,News & Media
20,googleusercontent.com,Content Servers
21,office365.com,Technology
22,spotify.com,Audio Streaming
23,amazonaws.com,Technology
24,fbcdn.net,Social Networks
25,instagram.com,Photography;Social Networks
26,akadns.net,Content Servers
27,akamai.net,Content Servers
28,akamaiedge.net,Content Servers
29,skype.com,Instant Messengers;Internet Phone & VOIP
30,netflix.com,Video Streaming
31,ytimg.com,Content Servers
32,microsoftonline.com,Technology
33,google.co.za,Search Engines
34,ntp.org,Technology
35,google-analytics.com,Business;Technology
36,cloudflare.com,Technology
37,sharepoint.com,File Sharing;Technology
38,yahoo.com,News & Media
39,amazon-adsystem.com,Advertisements
40,cloudfront.net,Content Servers;Science;Technology
41,gboxlab.com,Information Technology
42,azure.com,Technology
43,windowsupdate.com,Information Technology;Business
44,apple-dns.net,Content Servers
45,windows.com,Information Technology
46,adnxs.com,Content Servers
47,akamaized.net,Content Servers
48,googleadservices.com,Advertisements
49,lencr.org,Information Technology
50,ttlivecdn.com,Content Servers
51,appcenter.ms,Technology
52,googletagmanager.com,Content Servers
53,icloud.com,File Sharing
54,msftncsi.com,Content Servers
55,trafficmanager.net,Content Servers
56,linkedin.com,Professional Networking
57,windows.net,Technology
58,cloudflare-dns.com,Content Servers
59,gvt1.com,Content Servers
60,pubmatic.com,Business;Technology
61,rubiconproject.com,Advertisements
62,aaplimg.com,Information Technology;Content Servers;Technology
63,hicloud.com,File Sharing
64,azureedge.net,Content Servers
65,smartadserver.com,Advertisements
66,msftconnecttest.com,Content Servers
67,grammarly.com,Information Technology
68,ggpht.com,Content Servers
69,outlook.com,Webmail
70,snapchat.com,Social Networks
71,twitter.com,Social Networks
72,whatsapp.com,Instant Messengers;Internet Phone & VOIP
73,criteo.com,Business
74,dropbox.com,File Sharing
75,app-measurement.com,Content Servers
76,adobe.io,Business;Technology
77,grammarly.io,Information Technology;Content Servers
78,bidswitch.net,Technology
79,msedge.net,Content Servers
80,casalemedia.com,Advertisements
81,cdn77.org,Content Servers
82,dbankcloud.com,Technology
83,gmail.com,Webmail
84,adobe.com,Technology
85,dbankcloud.cn,Technology
86,openx.net,Advertisements
87,eset.com,Technology
88,digicert.com,Information Security
89,bytefcdn-oversea.com,
90,ui.com,Technology
91,amazon.com,Ecommerce
92,scorecardresearch.com,Business
93,applovin.com,Gaming
94,clarity.ms,Content Servers
95,facebook.net,Social Networks
96,mcafee.com,Technology
97,googletagservices.com,Content Servers
98,appsflyer.com,Business;Technology
99,demdex.net,Technology
100,taboola.com,Business;Advertisements
