rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,office.com,Technology
8,tiktokcdn.com,Content Servers;Social Networks
9,doubleclick.net,Advertisements
10,live.com,Technology;Webmail
11,akadns.net,Content Servers
12,spotify.com,Audio Streaming
13,apple-dns.net,Content Servers
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,akamai.net,Content Servers
16,amazonaws.com,Technology
17,akamaiedge.net,Content Servers
18,ui.com,Technology
19,googleusercontent.com,Content Servers
20,bing.com,Search Engines
21,youtube.com,Video Streaming
22,gvt2.com,Content Servers
23,icloud.com,File Sharing
24,googlevideo.com,Search Engines;Video Streaming
25,office.net,Content Servers
26,ntp.org,Technology
27,googlesyndication.com,Search Engines;Advertisements
28,office365.com,Technology
29,google-analytics.com,Business;Technology
30,instagram.com,Photography;Social Networks
31,azure.com,Technology
32,msn.com,News & Media
33,cloudflare-dns.com,Content Servers
34,snapchat.com,Social Networks
35,microsoftonline.com,Technology
36,netflix.com,Video Streaming
37,aaplimg.com,Information Technology;Content Servers;Technology
38,tiktokv.com,Social Networks;Video Streaming
39,sharepoint.com,File Sharing;Technology
40,google.nl,Search Engines
41,windows.net,Technology
42,one.one,Information Technology
43,cloudfront.net,Content Servers;Science;Technology
44,trafficmanager.net,Content Servers
45,app-measurement.com,Content Servers
46,adnxs.com,Content Servers
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,outlook.com,Webmail
49,fbcdn.net,Social Networks
50,ytimg.com,Content Servers
51,googletagmanager.com,Content Servers
52,tiktokv.eu,Content Servers
53,ttlivecdn.com,Content Servers
54,cloudflare.com,Technology
55,cdn77.org,Content Servers
56,windowsupdate.com,Information Technology;Business
57,windows.com,Information Technology
58,linkedin.com,Professional Networking
59,lencr.org,Information Technology
60,criteo.com,Business
61,bytefcdn-oversea.com,
62,sentry.io,Business
63,amazon-adsystem.com,Advertisements
64,msftncsi.com,Content Servers
65,fastly.net,Information Security;Information Technology;Technology
66,rubiconproject.com,Advertisements
67,gmail.com,Webmail
68,yahoo.com,News & Media
69,gvt1.com,Content Servers
70,akamaized.net,Content Servers
71,appcenter.ms,Technology
72,dns.google,Information Technology
73,googleadservices.com,Advertisements
74,synology.com,Technology
75,pki.goog,Information Security
76,dropbox.com,File Sharing
77,amazon.com,Ecommerce
78,azureedge.net,Content Servers
79,ubuntu.com,Technology
80,nr-data.net,Content Servers
81,msftconnecttest.com,Content Servers
82,unifi-ai.com,Content Servers
83,pubmatic.com,Business;Technology
84,digicert.com,Information Security
85,cdninstagram.com,Content Servers
86,scorecardresearch.com,Business
87,msedge.net,Content Servers
88,adobe.io,Business;Technology
89,ggpht.com,Content Servers
90,slack.com,Instant Messengers
91,smartadserver.com,Advertisements
92,sc-cdn.net,Content Servers
93,facebook.net,Social Networks
94,casalemedia.com,Advertisements
95,clarity.ms,Content Servers
96,scdn.co,Content Servers
97,adobe.com,Technology
98,ubnt.com,Technology;Advertisements
99,twitter.com,Social Networks
100,launchdarkly.com,Business
