rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,youtube.com,Video Streaming
8,gvt2.com,Content Servers
9,fbcdn.net,Social Networks
10,googlevideo.com,Search Engines;Video Streaming
11,tiktokv.com,Social Networks;Video Streaming
12,instagram.com,Photography;Social Networks
13,nakheelteam.cc,Technology
14,doubleclick.net,Advertisements
15,ytimg.com,Content Servers
16,spotify.com,Audio Streaming
17,cloudflare.com,Technology
18,apple.com,Information Technology;Technology
19,cloudflare-dns.com,Content Servers
20,bing.com,Search Engines
21,googlesyndication.com,Search Engines;Advertisements
22,googleusercontent.com,Content Servers
23,live.com,Technology;Webmail
24,whatsapp.net,Instant Messengers;Internet Phone & VOIP
25,msn.com,News & Media
26,tango.me,Chat;Video Streaming
27,ttlivecdn.com,Content Servers
28,ggpht.com,Content Servers
29,google-analytics.com,Business;Technology
30,google.tn,Search Engines
31,akamai.net,Content Servers
32,office.com,Technology
33,netflix.com,Video Streaming
34,opera.com,Technology
35,amazonaws.com,Technology
36,googletagmanager.com,Content Servers
37,icloud.com,File Sharing
38,discord.com,Instant Messengers;Internet Phone & VOIP
39,fast.com,Information Technology
40,akadns.net,Content Servers
41,snapchat.com,Social Networks
42,akamaiedge.net,Content Servers
43,epicgames.com,Ecommerce;Gaming
44,skype.com,Instant Messengers;Internet Phone & VOIP
45,apple-dns.net,Content Servers
46,amazon-adsystem.com,Advertisements
47,cloudfront.net,Content Servers;Science;Technology
48,windowsupdate.com,Information Technology;Business
49,ntp.org,Technology
50,riotgames.com,Gaming
51,windows.com,Information Technology
52,linkedin.com,Professional Networking
53,msedge.net,Content Servers
54,yahoo.com,News & Media
55,googleadservices.com,Advertisements
56,lencr.org,Information Technology
57,cdninstagram.com,Content Servers
58,fbsbx.com,Content Servers
59,office.net,Content Servers
60,cdn77.org,Content Servers
61,one.one,Information Technology
62,akamaized.net,Content Servers
63,rubiconproject.com,Advertisements
64,adnxs.com,Content Servers
65,app-measurement.com,Content Servers
66,aaplimg.com,Information Technology;Content Servers;Technology
67,brave.com,Information Technology
68,grammarly.com,Information Technology
69,twitter.com,Social Networks
70,bytefcdn-oversea.com,
71,gvt1.com,Content Servers
72,nvidia.com,Technology
73,truecaller.com,Information Technology;Professional Networking
74,riotcdn.net,Content Servers
75,msftncsi.com,Content Servers
76,roblox.com,Gaming;Safe for Kids
77,criteo.com,Business
78,microsoftonline.com,Technology
79,pubmatic.com,Business;Technology
80,gamepass.com,Gaming;Information Technology
81,digicert.com,Information Security
82,pki.goog,Information Security
83,msftconnecttest.com,Content Servers
84,tiktok.com,Social Networks;Video Streaming
85,grammarly.io,Information Technology;Content Servers
86,avcdn.net,Content Servers
87,kaspersky.com,Technology
88,facebook.net,Social Networks
89,pvp.net,Gaming
90,avast.com,Technology
91,azureedge.net,Content Servers
92,shalltry.com,Content Servers
93,discordapp.com,Information Technology;Instant Messengers;Internet Phone & VOIP
94,dns.google,Information Technology
95,scorecardresearch.com,Business
96,ttvnw.net,Video Streaming
97,scdn.co,Content Servers
98,openx.net,Advertisements
99,office365.com,Technology
100,azure.com,Technology
